model_type,policy,oracle_non_deployable,repetition,query_budget,total,positive,negative,auroc,macro_f1,accuracy,sensitivity,specificity,brier,ece,tp,tn,fp,fn,threshold,query_precision,mean_errors_corrected,mean_concepts_queried,diagnosis_change_rate,diagnosis_improvement_rate,diagnosis_harm_rate,queries,errors_corrected,originally_wrong,originally_right,diagnoses_improved,diagnoses_harmed
soft,random_error_oracle,1,99,5,658,198,460,0.8856499780412823,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13271031141145884,0.08998650606850966,150,363,97,48,0.5,1.0,1.4635258358662615,1.4635258358662615,0.2689969604863222,0.635593220338983,0.18888888888888888,963,963,118,540,75,102
soft,random_error_oracle,1,99,6,658,198,460,0.8870772946859902,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13230404408262497,0.08989135458020613,150,363,97,48,0.5,1.0,1.4680851063829787,1.4680851063829787,0.2689969604863222,0.635593220338983,0.18888888888888888,966,966,118,540,75,102
soft,random_error_oracle,1,99,7,658,198,460,0.886528326745718,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13258977388471305,0.09029093052665495,150,363,97,48,0.5,1.0,1.4696048632218845,1.4696048632218845,0.2689969604863222,0.635593220338983,0.18888888888888888,967,967,118,540,75,102
soft,confidently_wrong_oracle,1,0,0,658,198,460,0.8635375494071147,0.772002772002772,0.8206686930091185,0.5959595959595959,0.9173913043478261,0.12792545989565157,0.02485381406775575,118,422,38,80,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,118,540,0,0
soft,confidently_wrong_oracle,1,0,1,658,198,460,0.8619126043039086,0.7521724890829695,0.790273556231003,0.6616161616161617,0.8456521739130435,0.13593984688565694,0.05754477012897509,131,389,71,67,0.5,1.0,0.7112462006079028,0.7112462006079028,0.1519756838905775,0.3389830508474576,0.1111111111111111,468,468,118,540,40,60
soft,confidently_wrong_oracle,1,0,2,658,198,460,0.8778765920070267,0.7390324900583806,0.7720364741641338,0.6919191919191919,0.8065217391304348,0.13437069214062436,0.08350095756780958,137,371,89,61,0.5,1.0,1.1443768996960486,1.1443768996960486,0.23404255319148937,0.5169491525423728,0.17222222222222222,753,753,118,540,61,93
soft,confidently_wrong_oracle,1,0,3,658,198,460,0.8827184892402283,0.7547242096979612,0.7811550151975684,0.7525252525252525,0.7934782608695652,0.13397585570788798,0.08266385670716458,149,365,95,49,0.5,1.0,1.3632218844984803,1.3632218844984803,0.2613981762917933,0.6186440677966102,0.18333333333333332,897,897,118,540,73,99
soft,confidently_wrong_oracle,1,0,4,658,198,460,0.8894158981115502,0.7572362904578231,0.7826747720364742,0.7626262626262627,0.7913043478260869,0.13098095576643698,0.08832054513552914,151,364,96,47,0.5,1.0,1.4437689969604863,1.4437689969604863,0.26595744680851063,0.635593220338983,0.18518518518518517,950,950,118,540,75,100
soft,confidently_wrong_oracle,1,0,5,658,198,460,0.8876701800614845,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13196982400868745,0.09199914372735282,150,363,97,48,0.5,1.0,1.4635258358662615,1.4635258358662615,0.2689969604863222,0.635593220338983,0.18888888888888888,963,963,118,540,75,102
soft,confidently_wrong_oracle,1,0,6,658,198,460,0.8865393061045235,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13257179033593056,0.09028129529181703,150,363,97,48,0.5,1.0,1.4680851063829787,1.4680851063829787,0.2689969604863222,0.635593220338983,0.18888888888888888,966,966,118,540,75,102
soft,confidently_wrong_oracle,1,0,7,658,198,460,0.886528326745718,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13258977388471305,0.09029093052665495,150,363,97,48,0.5,1.0,1.4696048632218845,1.4696048632218845,0.2689969604863222,0.635593220338983,0.18888888888888888,967,967,118,540,75,102
soft,active,0,0,0,658,198,460,0.8635375494071147,0.772002772002772,0.8206686930091185,0.5959595959595959,0.9173913043478261,0.12792545989565157,0.02485381406775575,118,422,38,80,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,118,540,0,0
soft,active,0,0,1,658,198,460,0.88399209486166,0.783610870280128,0.8161094224924013,0.7121212121212122,0.8608695652173913,0.12501339703119577,0.0369546772620545,141,396,64,57,0.5,0.35714285714285715,0.35714285714285715,1.0,0.1534954407294833,0.4152542372881356,0.0962962962962963,658,235,118,540,49,52
soft,active,0,0,2,658,198,460,0.8910188844971454,0.7770877847221667,0.8069908814589666,0.7323232323232324,0.8391304347826087,0.12387786923140467,0.06269582747624962,145,386,74,53,0.5,0.331306990881459,0.662613981762918,2.0,0.1717325227963526,0.4406779661016949,0.11296296296296296,1316,436,118,540,52,61
soft,active,0,0,3,658,198,460,0.9005489679402724,0.7782797745327701,0.8100303951367781,0.7171717171717171,0.85,0.11844158509675233,0.0565743341908964,142,391,69,56,0.5,0.30344478216818643,0.9103343465045592,3.0,0.21124620060790272,0.559322033898305,0.13518518518518519,1974,599,118,540,66,73
soft,active,0,0,4,658,198,460,0.9054787000439175,0.7939664852725231,0.8237082066869301,0.7373737373737373,0.8608695652173913,0.11560860411187186,0.051750382509583755,146,396,64,52,0.5,0.26975683890577506,1.0790273556231003,4.0,0.1884498480243161,0.5338983050847458,0.11296296296296296,2632,710,118,540,63,61
soft,active,0,0,5,658,198,460,0.906060606060606,0.8000994743987848,0.8282674772036475,0.7525252525252525,0.8608695652173913,0.11501402019765421,0.049529722144431014,149,396,64,49,0.5,0.25258358662613983,1.262917933130699,5.0,0.20212765957446807,0.5847457627118644,0.11851851851851852,3290,831,118,540,69,64
soft,active,0,0,6,658,198,460,0.9057092665788319,0.8000994743987848,0.8282674772036475,0.7525252525252525,0.8608695652173913,0.11575946785118395,0.05085347082820821,149,396,64,49,0.5,0.23454913880445796,1.4072948328267476,6.0,0.21124620060790272,0.6101694915254238,0.12407407407407407,3948,926,118,540,72,67
soft,active,0,0,7,658,198,460,0.9046277997364953,0.7980617024713293,0.8267477203647416,0.7474747474747475,0.8608695652173913,0.11660951175750195,0.05573191082082779,148,396,64,50,0.5,0.20994355188884065,1.4696048632218845,7.0,0.20972644376899696,0.6016949152542372,0.12407407407407407,4606,967,118,540,71,67
hard,random_error_oracle,1,0,0,658,198,460,0.8401570048309178,0.7503843466107617,0.7978723404255319,0.601010101010101,0.8826086956521739,0.13351674514795986,0.04525037642258839,119,406,54,79,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,133,525,0,0
hard,random_error_oracle,1,0,1,658,198,460,0.8666337285902505,0.7855614594403117,0.8252279635258358,0.6565656565656566,0.8978260869565218,0.12687879144568742,0.05358460614793248,130,413,47,68,0.5,1.0,0.7112462006079028,0.7112462006079028,0.11246200607902736,0.3458646616541353,0.05333333333333334,468,468,133,525,46,28
hard,random_error_oracle,1,0,2,658,198,460,0.88633069828722,0.7717718048383012,0.8085106382978723,0.6767676767676768,0.8652173913043478,0.12594163933520244,0.05870971479969218,134,398,62,64,0.5,1.0,1.1443768996960486,1.1443768996960486,0.1595744680851064,0.42105263157894735,0.09333333333333334,753,753,133,525,56,49
hard,random_error_oracle,1,0,3,658,198,460,0.9020256916996047,0.7785521973249956,0.8115501519756839,0.7070707070707071,0.8565217391304348,0.11985298331851332,0.08903995261973209,140,394,66,58,0.5,1.0,1.3632218844984803,1.3632218844984803,0.19300911854103345,0.5112781954887218,0.11238095238095239,897,897,133,525,68,59
hard,random_error_oracle,1,0,4,658,198,460,0.9055939833113746,0.7945189253217035,0.8237082066869301,0.7424242424242424,0.8586956521739131,0.11833333504628131,0.0854786403015264,147,395,65,51,0.5,1.0,1.4437689969604863,1.4437689969604863,0.21124620060790272,0.5864661654135338,0.11619047619047619,950,950,133,525,78,61
hard,random_error_oracle,1,0,5,658,198,460,0.9050175669740886,0.7935694577397376,0.8221884498480243,0.7474747474747475,0.8543478260869565,0.1186805874392219,0.0886334188418421,148,393,67,50,0.5,1.0,1.4635258358662615,1.4635258358662615,0.2127659574468085,0.5864661654135338,0.1180952380952381,963,963,133,525,78,62
hard,random_error_oracle,1,0,6,658,198,460,0.9037659200702677,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11935838593906917,0.08730577130177206,147,392,68,51,0.5,1.0,1.4680851063829787,1.4680851063829787,0.21580547112462006,0.5864661654135338,0.1219047619047619,966,966,133,525,78,64
hard,random_error_oracle,1,0,7,658,198,460,0.902849143610013,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11987083060948461,0.08696343081317791,147,392,68,51,0.5,1.0,1.4696048632218845,1.4696048632218845,0.21580547112462006,0.5864661654135338,0.1219047619047619,967,967,133,525,78,64
hard,random_error_oracle,1,1,0,658,198,460,0.8401570048309178,0.7503843466107617,0.7978723404255319,0.601010101010101,0.8826086956521739,0.13351674514795986,0.04525037642258839,119,406,54,79,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,133,525,0,0
hard,random_error_oracle,1,1,1,658,198,460,0.8761967501097936,0.798936170212766,0.8358662613981763,0.6767676767676768,0.9043478260869565,0.12429759175156896,0.06180867049921076,134,416,44,64,0.5,1.0,0.7112462006079028,0.7112462006079028,0.11398176291793313,0.37593984962406013,0.047619047619047616,468,468,133,525,50,25
hard,random_error_oracle,1,1,2,658,198,460,0.8839920948616601,0.7637394714986994,0.8009118541033434,0.6717171717171717,0.8565217391304348,0.12783720777292412,0.062199000141836026,133,394,66,65,0.5,1.0,1.1443768996960486,1.1443768996960486,0.1641337386018237,0.41353383458646614,0.10095238095238095,753,753,133,525,55,53
hard,random_error_oracle,1,1,3,658,198,460,0.9024648660518226,0.7904141832944631,0.8206686930091185,0.7323232323232324,0.8586956521739131,0.12016258922990466,0.07840238805974507,145,395,65,53,0.5,1.0,1.3632218844984803,1.3632218844984803,0.20212765957446807,0.556390977443609,0.11238095238095239,897,897,133,525,74,59
hard,random_error_oracle,1,1,4,658,198,460,0.90461682037769,0.7930233495987418,0.8221884498480243,0.7424242424242424,0.8565217391304348,0.11901169055075166,0.08000715371437805,147,394,66,51,0.5,1.0,1.4437689969604863,1.4437689969604863,0.20972644376899696,0.5789473684210527,0.11619047619047619,950,950,133,525,77,61
hard,random_error_oracle,1,1,5,658,198,460,0.9050669740887132,0.792077723148773,0.8206686930091185,0.7474747474747475,0.8521739130434782,0.11869823157847169,0.08726632865648255,148,392,68,50,0.5,1.0,1.4635258358662615,1.4635258358662615,0.21428571428571427,0.5864661654135338,0.12,963,963,133,525,78,63
hard,random_error_oracle,1,1,6,658,198,460,0.9032938076416337,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.1196051084685608,0.08941601804018354,147,392,68,51,0.5,1.0,1.4680851063829787,1.4680851063829787,0.21580547112462006,0.5864661654135338,0.1219047619047619,966,966,133,525,78,64
hard,random_error_oracle,1,1,7,658,198,460,0.902849143610013,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11987083060948461,0.08696343081317791,147,392,68,51,0.5,1.0,1.4696048632218845,1.4696048632218845,0.21580547112462006,0.5864661654135338,0.1219047619047619,967,967,133,525,78,64
hard,random_error_oracle,1,2,0,658,198,460,0.8401570048309178,0.7503843466107617,0.7978723404255319,0.601010101010101,0.8826086956521739,0.13351674514795986,0.04525037642258839,119,406,54,79,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,133,525,0,0
hard,random_error_oracle,1,2,1,658,198,460,0.8743961352657005,0.7838898479935997,0.8221884498480243,0.6666666666666666,0.8891304347826087,0.12765476638508969,0.058725344735550314,132,409,51,66,0.5,1.0,0.7112462006079028,0.7112462006079028,0.10030395136778116,0.3082706766917293,0.047619047619047616,468,468,133,525,41,25
hard,random_error_oracle,1,2,2,658,198,460,0.8825702678963548,0.7585741114695642,0.7948328267477204,0.6767676767676768,0.8456521739130435,0.12883973602282114,0.06569692221789354,134,389,71,64,0.5,1.0,1.1443768996960486,1.1443768996960486,0.17325227963525835,0.42105263157894735,0.11047619047619048,753,753,133,525,56,58
