model_type,policy,oracle_non_deployable,query_budget,repetitions,auroc_mean,auroc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,brier_mean,brier_sd,ece_mean,ece_sd,query_precision_mean,query_precision_sd,mean_errors_corrected_mean,mean_errors_corrected_sd,mean_concepts_queried_mean,mean_concepts_queried_sd,diagnosis_change_rate_mean,diagnosis_change_rate_sd,diagnosis_improvement_rate_mean,diagnosis_improvement_rate_sd,diagnosis_harm_rate_mean,diagnosis_harm_rate_sd
soft,confidently_wrong_oracle,1,2,1,0.8778765920070267,0.0,0.7390324900583806,0.0,0.7720364741641338,0.0,0.6919191919191919,0.0,0.8065217391304348,0.0,0.13437069214062436,0.0,0.08350095756780958,0.0,1.0,0.0,1.1443768996960486,0.0,1.1443768996960486,0.0,0.23404255319148937,0.0,0.5169491525423728,0.0,0.17222222222222222,0.0
soft,confidently_wrong_oracle,1,3,1,0.8827184892402283,0.0,0.7547242096979612,0.0,0.7811550151975684,0.0,0.7525252525252525,0.0,0.7934782608695652,0.0,0.13397585570788798,0.0,0.08266385670716458,0.0,1.0,0.0,1.3632218844984803,0.0,1.3632218844984803,0.0,0.2613981762917933,0.0,0.6186440677966102,0.0,0.18333333333333332,0.0
soft,confidently_wrong_oracle,1,4,1,0.8894158981115502,0.0,0.7572362904578231,0.0,0.7826747720364742,0.0,0.7626262626262627,0.0,0.7913043478260869,0.0,0.13098095576643698,0.0,0.08832054513552914,0.0,1.0,0.0,1.4437689969604863,0.0,1.4437689969604863,0.0,0.26595744680851063,0.0,0.635593220338983,0.0,0.18518518518518517,0.0
soft,confidently_wrong_oracle,1,5,1,0.8876701800614845,0.0,0.7538409938208697,0.0,0.7796352583586627,0.0,0.7575757575757576,0.0,0.7891304347826087,0.0,0.13196982400868745,0.0,0.09199914372735282,0.0,1.0,0.0,1.4635258358662615,0.0,1.4635258358662615,0.0,0.2689969604863222,0.0,0.635593220338983,0.0,0.18888888888888888,0.0
soft,confidently_wrong_oracle,1,6,1,0.8865393061045235,0.0,0.7538409938208697,0.0,0.7796352583586627,0.0,0.7575757575757576,0.0,0.7891304347826087,0.0,0.13257179033593056,0.0,0.09028129529181703,0.0,1.0,0.0,1.4680851063829787,0.0,1.4680851063829787,0.0,0.2689969604863222,0.0,0.635593220338983,0.0,0.18888888888888888,0.0
soft,confidently_wrong_oracle,1,7,1,0.886528326745718,0.0,0.7538409938208697,0.0,0.7796352583586627,0.0,0.7575757575757576,0.0,0.7891304347826087,0.0,0.13258977388471305,0.0,0.09029093052665495,0.0,1.0,0.0,1.4696048632218845,0.0,1.4696048632218845,0.0,0.2689969604863222,0.0,0.635593220338983,0.0,0.18888888888888888,0.0
soft,active,0,0,1,0.8635375494071147,0.0,0.772002772002772,0.0,0.8206686930091185,0.0,0.5959595959595959,0.0,0.9173913043478261,0.0,0.12792545989565157,0.0,0.02485381406775575,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft,active,0,1,1,0.88399209486166,0.0,0.783610870280128,0.0,0.8161094224924013,0.0,0.7121212121212122,0.0,0.8608695652173913,0.0,0.12501339703119577,0.0,0.0369546772620545,0.0,0.35714285714285715,0.0,0.35714285714285715,0.0,1.0,0.0,0.1534954407294833,0.0,0.4152542372881356,0.0,0.0962962962962963,0.0
soft,active,0,2,1,0.8910188844971454,0.0,0.7770877847221667,0.0,0.8069908814589666,0.0,0.7323232323232324,0.0,0.8391304347826087,0.0,0.12387786923140467,0.0,0.06269582747624962,0.0,0.331306990881459,0.0,0.662613981762918,0.0,2.0,0.0,0.1717325227963526,0.0,0.4406779661016949,0.0,0.11296296296296296,0.0
soft,active,0,3,1,0.9005489679402724,0.0,0.7782797745327701,0.0,0.8100303951367781,0.0,0.7171717171717171,0.0,0.85,0.0,0.11844158509675233,0.0,0.0565743341908964,0.0,0.30344478216818643,0.0,0.9103343465045592,0.0,3.0,0.0,0.21124620060790272,0.0,0.559322033898305,0.0,0.13518518518518519,0.0
soft,active,0,4,1,0.9054787000439175,0.0,0.7939664852725231,0.0,0.8237082066869301,0.0,0.7373737373737373,0.0,0.8608695652173913,0.0,0.11560860411187186,0.0,0.051750382509583755,0.0,0.26975683890577506,0.0,1.0790273556231003,0.0,4.0,0.0,0.1884498480243161,0.0,0.5338983050847458,0.0,0.11296296296296296,0.0
soft,active,0,5,1,0.906060606060606,0.0,0.8000994743987848,0.0,0.8282674772036475,0.0,0.7525252525252525,0.0,0.8608695652173913,0.0,0.11501402019765421,0.0,0.049529722144431014,0.0,0.25258358662613983,0.0,1.262917933130699,0.0,5.0,0.0,0.20212765957446807,0.0,0.5847457627118644,0.0,0.11851851851851852,0.0
soft,active,0,6,1,0.9057092665788319,0.0,0.8000994743987848,0.0,0.8282674772036475,0.0,0.7525252525252525,0.0,0.8608695652173913,0.0,0.11575946785118395,0.0,0.05085347082820821,0.0,0.23454913880445796,0.0,1.4072948328267476,0.0,6.0,0.0,0.21124620060790272,0.0,0.6101694915254238,0.0,0.12407407407407407,0.0
soft,active,0,7,1,0.9046277997364953,0.0,0.7980617024713293,0.0,0.8267477203647416,0.0,0.7474747474747475,0.0,0.8608695652173913,0.0,0.11660951175750195,0.0,0.05573191082082779,0.0,0.20994355188884065,0.0,1.4696048632218845,0.0,7.0,0.0,0.20972644376899696,0.0,0.6016949152542372,0.0,0.12407407407407407,0.0
hard,random_error_oracle,1,0,100,0.8401570048309175,3.3474483693592255e-16,0.7503843466107615,2.2316322462394835e-16,0.7978723404255318,1.1158161231197418e-16,0.6010101010101012,2.2316322462394835e-16,0.8826086956521739,0.0,0.1335167451479599,2.7895403077993544e-17,0.04525037642258839,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard,random_error_oracle,1,1,100,0.869538757136583,0.0057655189915727465,0.776704253923687,0.007958016141164512,0.8171276595744682,0.006534240364602014,0.6509090909090909,0.01507958301696709,0.8886739130434786,0.007274615596636169,0.12867664198282033,0.0025489756572473223,0.05890404583845629,0.007794326837488068,1.0,0.0,0.7112462006079028,0.0,0.7112462006079028,0.0,0.108161094224924,0.007379334018563328,0.3151879699248121,0.024595323943715868,0.05571428571428571,0.006122204657012231
hard,random_error_oracle,1,2,100,0.8890305775142732,0.00482048325253312,0.7691973097217266,0.007370135246215395,0.8054559270516718,0.00618741828413204,0.679848484848485,0.012978854064978186,0.8595217391304345,0.005868955221316228,0.12551441250309878,0.0024178142513502227,0.06475429333123929,0.005161287151300453,1.0,0.0,1.1443768996960488,2.2316322462394835e-16,1.1443768996960488,2.2316322462394835e-16,0.1585258358662614,0.005981124222778789,0.4109022556390977,0.020427497863529567,0.09459047619047618,0.005602367200002254
hard,random_error_oracle,1,3,100,0.9011336187966621,0.003064584909911577,0.782651841738983,0.005281255217641035,0.814483282674772,0.004490984123005376,0.7175252525252528,0.0099274705903697,0.8562173913043476,0.004520294691760819,0.12060316211626543,0.0016738018197046416,0.08344793604649592,0.004213584359061443,1.0,0.0,1.3632218844984803,0.0,1.3632218844984803,0.0,0.19624620060790274,0.004252988436131536,0.5265413533834586,0.015280748484975086,0.11257142857142859,0.0038810032840436914
hard,random_error_oracle,1,4,100,0.9051258234519104,0.0015256672625255897,0.7931598871853514,0.0020312285442075674,0.8222492401215807,0.0018571735339233501,0.7431313131313133,0.0035906730571197906,0.8563043478260866,0.002403351297359016,0.11862825597636001,0.0008906016890617901,0.0826891240445128,0.0019095741426628347,1.0,0.0,1.443768996960487,6.694896738718451e-16,1.443768996960487,6.694896738718451e-16,0.21075987841945285,0.001869194200087069,0.581654135338346,0.006278865109369835,0.11680000000000001,0.001709683309345657
hard,random_error_oracle,1,5,100,0.904191919191919,0.0008180733121555877,0.791699776901482,0.0011365089075994496,0.8204559270516717,0.0009420560938455726,0.7459090909090912,0.002347591912685529,0.8525434782608692,0.0008207068871057276,0.11913964057169853,0.0004758156447663917,0.08753677847373637,0.0014535999842124087,1.0,0.0,1.463525835866261,4.463264492478967e-16,1.463525835866261,4.463264492478967e-16,0.21449848024316115,0.0009420560938455908,0.5864661654135339,1.1158161231197418e-16,0.12026666666666667,0.0011807103042864705
hard,random_error_oracle,1,6,100,0.9031633179622309,0.00042431132679816326,0.7900407305216133,2.2316322462394835e-16,0.8191489361702128,0.0,0.7424242424242427,2.2316322462394835e-16,0.8521739130434777,5.579080615598709e-16,0.11969524630899742,0.00027306080938739656,0.0880102685134354,0.0011794169933137062,1.0,0.0,1.4680851063829785,2.2316322462394835e-16,1.4680851063829785,2.2316322462394835e-16,0.21580547112462015,8.368620923398064e-17,0.5864661654135339,1.1158161231197418e-16,0.12190476190476195,4.184310461699032e-17
